lokacija,naziv_gc,tip_zdenca,status_odrz,aktivan_da_ne,teren_dane,vlasnik_ki,odrzava_ki,zkc_oznaka,broj_vodomjera,napomena_teren,pozicija_tocnost,lon,lat
Obala 8. svibnja 1945.-park Bundek,Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 27/1,5417710370,juzno od nasipa,GNSS,16.0003289528959,45.7837230278524
Mali potok kod kbr. 6,Črnomerec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ŠESTINE 3895,2238180,ulica Mali potok između kbr 4 i kbr 6,GNSS,15.9344708593094,45.8534052037957
Ulica Savezne Republike Njemačke - Ulica Zulejke Stefanini Tućan,Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 710/93,2597074,jugoistocni ulaz u park za pse ,GNSS,15.9918730072515,45.7752464281576
"Ulica Savezne Republike Njemačke kod kbr. 6, dječje igralište",Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 480,2684482,"zapadni dio zgrade Ulica Savezne Republike Njemacke , br.6. ulaz u park",GNSS,15.989064084306,45.7791967402493
"Stonska ulica, dječje igralište",Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 433/1,2684475,jugoistocni ulaz djecjeg igralista ,GNSS,15.9856573996059,45.7804246822206
"Meštrovićev trg, uz košarkaško igralište",Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 500/1,2692576,"juzno od kosarkaskog igralista, uz pješačku stazu",GNSS,15.9956385351386,45.7804561756988
"Remetinečka cesta, južni ulaz Savskog mosta",Novi Zagreb - zapad,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",KLARA D 3448/3,5417710360,juzni ulaz Savskog mosta,GNSS,15.9548260231856,45.7829741476441
Park poginulih dragovoljaca Trnovčice - Trutina ulica,Gornja Dubrava,Ostalo,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",DUBRAVA 2613,2518112,istočni dio Trutinine ulice ,GNSS,16.0723426156874,45.8364061306854
Park poginulih dragovoljaca Trnovčice - Ulica Izidora Poljaka,Gornja Dubrava,Ostalo,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",DUBRAVA 2613,2518163,jugoistocni dio parka,GNSS,16.0723713691762,45.8357042033357
"Bistrička ulica, na stazi uz potok Vuger",Sesvete,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",SESVETE NOVO 7255/1,2596882,uz istočnu stranu potoka,GNSS,16.1068113383191,45.8318122242657
"Jelkovečka cesta 4, sajmište",Sesvete,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",SESVETE NOVO 2461/1,20H761433,sredina prostora za sajam (Sesvete),GNSS,16.1139675432054,45.8209038680242
Terminal Črnomerec-jug,Črnomerec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",VRAPČE NOVO 6887,Nije utvrđen vodomjer,juzni terminali okretista Črnomerec,GNSS,15.9340400932208,45.8154603260234
Terminal Črnomerec-sjever,Črnomerec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",VRAPČE NOVO 6887,Nije utvrđen vodomjer,juzni terminali okretista Črnomerec,GNSS,15.9345326451306,45.8159034391736
"Remetinečki gaj 20C, uz park",Novi Zagreb - zapad,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",BLATO NOVO D 1074,5359811451,jugoistocni ugao zgrade br. 20C (uz park),GNSS,15.9493332418667,45.7692898101725
"Bolnička cesta, park kod kbr. 96 i OŠ Stenjevec",Podsused - Vrapče,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GORNJI STENJEVEC 944,2362800,zapadni dio ulaska u park,GNSS,15.8819953201191,45.8195492416244
Trg Otokara Keršovanija kod kbr. 17,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR 4550/1,1908359,Trg Otokara Keršovanija 17,GNSS,15.9985337976992,45.8173118238236
Park Zlate Bartl nasuprot kbr. 11,Gornja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",RESNIK neusklađeno,5715040687,"sjeverno od parka i igrališta , nasuprot kbr 11",GNSS,16.0708179689071,45.8305548741028
Isce kod kbr. 15,Podsljeme,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAČANI neusklađeno,2603337,"unutar igralista (zapadno), sjeverno od kbr 15 (Pučka škola); izvorno SKI lokacija",GNSS,15.9700811654,45.8558965081034
"Trg Ivana Kukuljevića, sjeverna strana",Stenjevec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",DONJE VRAPČE 4219/6,2640772,sjeverna strana Trga Ivana Kukuljevića,GNSS,15.8960590865246,45.8057204363906
"Savudrijska ulica, kod križanja sa Sovinjačkom ",Peščenica - Žitnjak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 7325/1,2362469,krizanje Savudrijske i Sovinjačke; izvorno SKI lokacija,GNSS,16.0413706492616,45.8090544465872
Park Bartula Kašića - uz ogradu dječjeg parka,Donji grad,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR NOVI 6480/1,5416860067,,GNSS,15.9970064797527,45.8118112909066
Park Stara Trešnjevka - uz ogradu dječjeg parka,Trešnjevka - sjever,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 4785/3,2119103,uz Park Stara Trešnjevka (juzni ulaz),GNSS,15.9494144196122,45.7979884761935
Vladimira Varićaka kod kbr. 5,Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 1731/2,2159179,izvorno SKI lokacija,GNSS,15.988587435773,45.7656011202186
Vladimira Stahuljaka kod kbr. 1 - uz igralište,Sesvete,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",SESVETE NOVO 3661/62,1966488,zapadno od igrališta,GNSS,16.1066023099025,45.8116764728423
"Ulica Franje Fuisa kod kbr. 6, park uz potok",Trešnjevka - jug,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB neusklađeno,19373024,"sjeverozapadni dio igrališta, uz potok",GNSS,15.9383676524859,45.7868514436346
Trg Krešimira Ćosića kod kbr. 1,Trešnjevka - sjever,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TREŠNJEVKA NOVA 584/1,19373321,istočni dio Trga Krešimira Ćosića (nasuprot kbr 1 Metalčeva ulica),GNSS,15.9526480632404,45.8063316229488
Park Tomislava Ivčića - južno uz stazu,Donja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",RESNIK 2032/37,19373362,u sklopu Parka Tomislava Ivčića; izvorno SKI lokacija,GNSS,16.049730068771,45.8168039833485
Brezovička cesta 100,Brezovica,Viktorija zdenac,nije u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",BREZOVICA 2332/1,? Nije izdan račun,"uz poštu, preko puta autobusne stanice",GNSS,15.9075755741544,45.7241629467747
Park Tuškanac,Gornji grad - Medveščak,Viktorija zdenac,nije u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB neusklađeno,? Nije izdan račun,točnije prema zapisniku s označenom pozicijom zdenca pored javnog toaleta,GNSS,15.9690820540848,45.8221706660049
Trg Dragutina Domjanića kod kbr. 5,Sesvete,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",SESVETE NOVO 2524/2,11118387,nasuprot Muzeja (kbr 5),GNSS,16.1101792866753,45.8270065836559
Perivoj Ivane Brlić Mažuranić - sjeverozapadni ulaz,Donja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRANEŠINA 3039/75,? Nije izdan račun,sjeverozapadni ulaz u Perivoj Ivane B. M.,GNSS,16.047902898285,45.8252084248198
"Ulica Klin, zapadno od nogometnog igrališta",Gornja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",RESNIK 3567/19,11118490,sa zapadne strane nogometnog igrališta,GNSS,16.0681183281731,45.8358889597824
"Park 149 brigade Hrvatske vojske, južni ulaz u park",Trešnjevka - jug,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",VRAPČE 1671/7,11118388,juzni ulaz u park ,GNSS,15.9350227619824,45.7890016779642
Trg hrvatskih pavlina - kod ulaza u gimnaziju,Stenjevec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",STENJEVEC 51/59,11119369,"jugozapadno od gimnazije Lucijana Vranjanina. pokvareno (curi sa strane), treba popravak!",GNSS,15.8915534398892,45.810095338289
Školsko igralište OŠ Trnsko,Novi Zagreb - zapad,Viktorija zdenac,treba teren,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",KLARA 1445/1,? Nije izdan račun,"(potreban popravak!, curi) sjeveroistocno od igralista ",GNSS,15.9628974617954,45.7749505418414
Park Otti Berger - uz neboder u Ulici Ivana Rendića kbr. 23,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 1890/1,? Nije izdan račun,08/08/2024 mailom poslana obavijest da je u funkciji,GNSS,16.0054867563913,45.8186298315423
Zelinska ulica 5 - uz zapadnu ogradu parka,Trnje,Viktorija zdenac,nije u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 530/3,? Nije izdan račun,"uz zapadnu ogradu parka , Zelinska ulica ",GNSS,15.9725620151412,45.80172792384
Ulica sv. Mateja 107 - zelena površina uz stazu,Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 1330/2,11119368,izvorno SKI lokacija,GNSS,16.0000526390757,45.7647301154394
